nom;ville
Centre du Parvis de l'Hôtel de Ville;Paris
Centre de vaccination Montmoreau St Cybard/Chalais;Montmoreau
VELARS SUR OUCHE -Salle Polyvalente ;Velars-sur-Ouche
Centre de vaccination COVID Ad Hoc de FRONTENEX;Frontenex
Centre Vaccination LA CRAU;La Crau
Centre vaccination de Pourrières;Pourrières
Equipe Mobile OFII 78;Montrouge
Andorre;Andorre-la-Vieille
Centre départemental de vaccination de Bobigny;Bobigny
Centre du CES de Bayonne;Bayonne
annexe CH de Verneuil d'Avre et d'Iton salle des fêtes de Francheville;Verneuil d'Avre et d'Iton
Centre Vaccination - CHInA site FUMAY;Fumay
Centre de Vaccination de Champagnole - Oppidium;Champagnole
CV Chaumont-sur-Tharonne;Chaumont-sur-Tharonne
Centre Vaccination LE REVEST;Le Revest-les-Eaux
Tomblaine - Salle Stéphane HESSEL;Tomblaine
Centre de vaccination PMI Eragny-sur-Oise;Éragny
Centre St Etienne de St Geoirs;Saint-Étienne-de-Saint-Geoirs
Centre de vaccination de Bollène;Bollène
CV en attente (5);Blois
Centre de vaccination d'Obernai- Salle des Fêtes;Obernai
Relais ambulatoire de vaccination Pôle de santé  La Francilienne  ;Pontault-Combault
Centre de vaccination PMI Marines;Marines
Centre de vaccination PMI Garges-lès-Gonesse;Garges-lès-Gonesse
Centre de vaccination - Parc Manceau SDIS;Le Mans
Centre de vaccination PMI Montmorency;Montmorency
CV Chaussée-Saint-Victor;La Chaussée-Saint-Victor
CARHAIX - CHU Brest ex-service social (réservé PS);Carhaix-Plouguer
Centre de Foncine le Haut;Foncine-le-Haut
Angola;Luanda
Centre de vaccination du CH de Firminy;Firminy
CV mobile - SDIS 47;Foulayronnes
antenne MSP St Just en Chevalet ;Saint-Just-en-Chevalet
Centre de vaccination Sarrola-Carcopino;Sarrola-Carcopino
Granville : salle saint-nicolas;Granville
EMV Centre Hospitalier Simone Veil;Eaubonne
Centre de Vaccination COVID d’Aubagne;Aubagne
Centre de vaccination - CA du Libournais;Libourne
Vaccinodrome St Denis;Saint-Denis
MSP Rabelais;Blois
Salle Franck Arnal;Toulon
Centre de Vaccination d'Ivry sur Seine;Ivry-sur-Seine
CV éphémère d'Artenay;Artenay
Centre de vaccination Cousance;Cousance
ESP Saint-Aignan;Saint-Aignan
Relais Ambulatoire de vaccination MSP Simone Veil de Lagny-sur-Marne;Lagny-sur-Marne
Creysse Croix Rouge Française;Creysse
Centre de vaccination de Thonon - Salle Lemaniaz;Thonon-les-Bains
Centre de vaccination - Commune de Gravelines -Sportica;Gravelines
CH Bourbonne-les-Bains;Bourbonne-les-Bains
RENNES SOS Médecin;Rennes
Relai ambulatoire de vaccination - MSP MEXIMIEUX - Médipôle ;Meximieux
Centre de vaccination - SDIS 38 UMV FONTAINE;Fontaine
Centre de vaccination intercommunal du Celavu Prunelli;Bastelicaccia
Centre de vaccination OFII Patay;Paris
Afghanistan;Kaboul
Afrique du Sud;Prétoria
Albanie;Tirana
Algérie;Alger
GRAND CENTRE;Évreux
Dole - Le manège de Brack;Dole
Antigua-et-Barbuda;Saint John's
Arabie saoudite;Riyad
MA - US1 / Maison d'Arrêt de Châlons-en-Champagne;Châlons-en-Champagne
ESP interpro santé;Blois
Relai ambulatoire de vaccination - Cabinet médical Le Croisse Baulet;Sallanches
Argentine;Buenos Aires
Arménie;Erevan
Australie;Canberra
Autriche;Vienne
Azerbaïdjan;Bakou
Centre de vaccination de Saint Paul de fenouillet;Saint-Paul-de-Fenouillet
Bahamas;Nassau
Bahreïn;Manama
Bangladesh;Dacca
L'Hôpital Nord-Ouest - Site de Trévoux;Trévoux
Office Français de l'Immigration et de l'Intégration;Nice
Centre de vaccination des Rousses;Les Rousses
Equipe mobile de vaccination MSP Buis les Baronnies;Buis-les-Baronnies
Opération éphémère de Jouy-le-Moutier;Jouy-le-Moutier
Barbade;Bridgetown
Belgique;Bruxelles
Bélize;Belmopan
Bénin;Porto-Novo
Bhoutan;Thimphou
Biélorussie;Minsk
Birmanie;Naypyidaw
Bolivie;Sucre / La Paz
Equipe mobile de vaccination de Bourdeaux MSP;Bourdeaux
Bosnie-Herzégovine;Sarajevo
Botswana;Gaborone
Brésil;Brasilia
Brunei;Bandar Seri Begawan
Bulgarie;Sofia
Burkina;Ouagadougou
Burundi;Gitega
Cambodge;Phnom Penh
Cameroun;Yaoundé
Canada;Ottawa
Cap-Vert;Praia
Centrafrique;Bangui
Chili;Santiago
Chine;Pékin
Espace de La Libération;Saint-Rémy-de-Provence
BONNEUIL SUR MARNE;Bonneuil-sur-Marne
Chypre;Nicosie
Centre de vaccination de Roquemaure;Roquemaure
Colombie;Bogota
Comores;Moroni
Congo;Brazzaville
Congo (République démocratique du);Kinshasa
Cook (Îles);Avarua
Corée du Nord;Pyongyang
Corée du Sud;Séoul
Costa Rica;San José
CV Bazoches;Bazoches-les-Gallerandes
Minotaure salle culturelle de Vendôme;Vendôme
Côte d'Ivoire;Yamoussoukro
Centre de Nozeroy;Nozeroy
Centre de vaccination Saintes CRF;Saintes
Croatie;Zagreb
Cuba;La Havane
Danemark;Copenhague
Djibouti;Djibouti
Dominicaine (République);Saint-Domingue
Dominique;Roseau
Égypte;Le Caire
Émirats arabes unis;Abou Dabi
Équateur;Quito
Érythrée;Asmara
Espagne;Madrid
Estonie;Tallinn
Eswatini;Mbabané
États-Unis;Washington
Éthiopie;Addis Abeba
Fidji;Suva
Finlande;Helsinki
Gabon;Libreville
Gambie;Banjul
Géorgie;Tbilissi
Ghana;Accra
Grèce;Athènes
Grenade;Saint-Georges
Guatémala;Guatémala
Guinée;Conakry
Centre de vaccination de Mulhouse - La Fraternité;Mulhouse
Guinée équatoriale;Malabo
Guinée-Bissao;Bissao
CV CC trois fontaines-Saint-Jean-de-la-Ruelle;Saint-Jean-de-la-Ruelle
centre de vaccination CPTS Pays d'Angoulême;L'Isle-d'Espagnac
Guyana;Georgetown
Maison médicale de garde de la Timone (professionnels de santé liéraux);Marseille
Haïti;Port-au-Prince
Honduras;Tégucigalpa
Hongrie;Budapest
Inde;New Delhi
Indonésie;Jakarta
Irak;Bagdad
Iran;Téhéran
Irlande;Dublin
Islande;Reykjavik
Israël;
CV CC Cap Saran;Saran
Italie;Rome
Jamaïque;Kingston
Japon;Tokyo
Centre de vaccination Etat-major SDIS;Varennes-Vauzelles
Jordanie;Amman
Vaccinodrome de Saint Barthélemy;Saint-Barthelemy
Kazakhstan;Nour-Soultan
Kénya;Nairobi
Kirghizstan;Bichkek
Kiribati;Bairiki
Kosovo;Pristina
Vaccinodrome Saint Martin ;Saint Martin
CV Ferté-Saint-Aubin;La Ferté-Saint-Aubin
Koweït;Koweït
Laos;Vientiane
Lésotho;Maséru
Lettonie;Riga
Liban;Beyrouth
Libéria;Monrovia
Vaccimobile du Haut Beaujolais;Beaujeu
Libye;Tripoli
Liechtenstein;Vaduz
Lituanie;Vilnius
Luxembourg;Luxembourg
Macédoine du Nord;Skopje
Centre de vaccination de La Tour du Pin;La Tour-du-Pin
DINAN - CH (réservé PS);Dinan
SDIS 52;Chaumont
Madagascar;Antananarivo (Tananarive)
Malaisie;Kuala Lumpur
Malawi;Lilongwé
Maldives;Malé
Mali;Bamako
Salle polyvalente - Grandvillars;Grandvillars
Malte;La Valette
Maroc;Rabat
Marshall (Îles);Delap-Uliga-Darrit
Maurice;Port-Louis
Mauritanie;Nouakchott
Mexique;Mexico
Micronésie;Palikir
Moldavie;Chisinau
Monaco;Monaco
Mongolie;Oulan-Bator
Monténégro;Podgorica
Mozambique;Maputo
Namibie;Windhoek
Nauru;Yaren
Népal;Katmandou
Centre SSTI2B;Bastia
OFII;Rezé
Nicaragua;Managua
Niger;Niamey
Centre de vaccination de Vittel ;Vittel
Centre de Vaccination de La Rochelle;La Rochelle
Nigéria;Abuja
Niue;Alofi
Norvège;Oslo
Nouvelle-Zélande;Wellington
Oman;Mascate
Ouganda;Kampala
Ouzbékistan;Tachkent
Pakistan;Islamabad
Palaos;Melekeok
Relai ambulatoire de vaccination - Cabinet PS de la Saulire;Courchevel
Panama;Panama
Papouasie-Nouvelle-Guinée;Port Moresby
Paraguay;Assomption (Asuncion)
Pays-Bas;Amsterdam
Pérou;Lima
Centre de vaccination Ajaccio / Espace Diamant;Ajaccio
Philippines;Manille
CV éphémère PRADINES;Pradines
Pologne;Varsovie
Portugal;Lisbonne
Qatar;Doha
Centre de vaccination SOS Médecins Neuhof;Strasbourg
Roumanie;Bucarest
Royaume-Uni;Londres
Russie;Moscou
Théatre de la Mer - Salle des Loges;Vallauris
CP - US Centre de détention et SMPR niv.1 Centre de Détention / Etablissement Spécialisé pour mineurs d'Orvault;Orvault
Rwanda;Kigali
Saint-Christophe-et-Niévès;Basseterre
Sainte-Lucie;Castries
Grand centre de vaccination - Alpexpo;Grenoble
Saint-Marin;Saint-Marin
Saint-Vincent-et-les-Grenadines;Kingstown
Salomon;Honiara
Salvador;San Salvador
Samoa;Apia
CV attente 41 (4);Blois
Sao Tomé-et-Principe;Sao Tomé
Sénégal;Dakar
Serbie;Belgrade
Seychelles;Victoria
Sierra Leone;Freetown
CP - US CP Bourg-en-Bresse / Centre pénitentiaire de Bourg-en-Bresse;Bourg-en-Bresse
CP - US du Centre Hospitalier de Moulins-Yzeure / Centre Pénitentiaire de Moulins-Yzeure;Yzeure
MA - US   MONTLUCON / Maison d'Arrêt de Montluçon;Montluçon
MA - US / Maison d'Arrêt d'Aurillac;Aurillac
CP - L'US de Valence / Centre pénitentiaire de Valence;Valence
CD - US centre de détention de roanne / Centre de détention de Roanne;Roanne
MA - USN 1Maison d'Arrêt de la Talaudière / Maison d'Arrêt de Saint-Etienne-la-Talaudière;La Talaudière
Singapour;Singapour
Slovaquie;Bratislava
MA - US Corbas / Etablissement spécialisé pour mineurs du Rhône;Meyzieu
EPM - US/SMPR EPM du Rhone / Etablissement spécialisé pour mineursdu Rhône;Meyzieu
MA - US Maison d'Arrêt de Chambéry / Maison d'Arrêt de Chambéry;Chambéry
CP - US AITON / Maison d'Arrêt de Chambéry;CHAMBERY
MA - Unité de Consultations et de Soins Ambulatoires / Maison d'Arrêt du Puy-en-Velay;Le Puy-en-Velay
MA - US DIJON / Maison d'Arrêt de Dijon;Dijon
MA - US de la maison d'arrêt de Besançon / Maison d'Arrêt de Besançon;Besançon
MA - US DE NEVERS / Maison d'Arrêt de Nevers;Nevers
MA - US de Vesoul / Maison d'Arrêt de Vesoul;Vesoul
CP - Varennes le grand / Centre Pénitentiaire de Varennes-le-Grand;Varennes-le-Grand
Slovénie;Ljubljana
MA - US Auxerre / Maison d'Arrêt d'Auxerre;Auxerre
CP - VILLEFRANCHE SUR SAONE / Maison d'Arrêt de Villefranche-sur-Saône;Villefranche-sur-Saône
Opération éphémère RESTOS DU COEUR;Saint-Thibault-des-Vignes
MA - US de Montbéliard / Maison d'Arrêt de Montbéliard;Montbéliard
MA - US de Belfort / Maison d'Arrêt de Montbéliard;Montbéliard
MA - BREST / Maison d'Arrêt de Brest;Brest
MA - USPN MAISON D'ARRET DE SAINT MALO / Maison d'Arrêt de Saint-Malo;Saint-Malo
CP - UCSA  Centre Pénitentiaire des Femmes - Rennes / Centre pénitentiaire de Rennes-Vézin le Coquet;Vezin-le-Coquet
MA - US - MAISON D'ARRET DE VANNES / Maison d'Arrêt de Vannes;Vannes
Somalie;Mogadiscio
CD - Centre de Détention de Chateaudun / Centre de Détention de Châteaudun;Châteaudun
MC - Unité de soins somatiques et psychiatriques de la maison centrale de SAINT-MAUR / Maison Centrale de Saint-Maur;Saint-Maur
MA - US Tours / Maison d'Arrêt de Tours;Tours
CP - US du CHBS au Centre Pénitentiaire de Lorient Ploemeur / Centre Pénitentiaire de Lorient-Ploemeur;Ploemeur
Soudan;Khartoum
MA - US / Maison d'Arrêt de Blois;Blois
CP - US1 / Centre pénitentiaire d'Orléans Saran;Saran
MA - US Ajaccio / Maison d'Arrêt d'Ajaccio;Ajaccio
CD - US DE CASABIANDA / Centre de Détention de Casabianda-Aléria;Aléria
CP - US DE BORGO / Centre de Détention de Casabianda-Aléria;Aléria
MA - US Centre hospitalier de charleville mézières / Maison d'Arrêt de Charleville-Mézières;Charleville-Mézières
CD - US DE VILLENAUXE LA GRANDE / Maison d'Arrêt de Troyes;Troyes
MC - US DE CLAIRVAUX / Maison d'Arrêt de Troyes;Troyes
MA - US de TROYES / Maison d'Arrêt de Troyes;Troyes
CD - US du CD d'Ecrouves / Centre de Détention d'Ecrouves;Écrouves
Soudan du Sud;Djouba
CD - US du CD de TOUL / Centre de Détention d'Ecrouves;Écrouves
CP - US Nancy / Centre pénitentiaire de Nancy-Maxéville;Nancy
MA - US Bar le Duc / Maison d'Arrêt de Bar-le-Duc;Bar-le-Duc
CD - US SAINT MIHIEL / Centre de Détention de Montmédy;Montmédy
CD - US MONTMEDY / Centre de Détention de Montmédy;Montmédy
CD - US d'OERMINGEN / Maison d'Arrêt de Sarreguemines;Sarreguemines
MA - US DE SARREGUEMINES / Maison d'Arrêt de Sarreguemines;Sarreguemines
Suriname;Paramaribo
CD - US Joux-la-Ville / Maison d'Arrêt d'Auxerre;Auxerre
CP - US / Centre Pénitentiaire de Laon;Laon
CP - Château-Thierry / Centre Pénitentiaire de Château-Thierry;Château-Thierry
CP - US Maison d'arrêt de Sequedin / Centre Pénitentiaire de Lille-Loos-Sequedin;Sequedin
MC - US d'Ensisheim / Maison centrale d'Ensisheim;Ensisheim
MA - STRASBOURG / Maison d'Arrêt de Strasbourg;Strasbourg
MA - USN1 Mulhouse / Maison d'Arrêt de Mulhouse;Mulhouse
Sri Lanka;Sri Jayewardenepura-Kotte
MA - US D'EPINAL / Maison d'Arrêt d'Epinal;Épinal
CP - US  / Centre Pénitentiaire de Vendin-le-Vieil;Vendin-le-Vieil
MA - USMP de Douai / Maison d'Arrêt de Douai;Douai
CP - US  de Fresnes / Centre Pénitentiaire de Fresnes;Fresnes
MA - US de COLMAR / Maison d'Arrêt de Colmar;Colmar
EPM - EPM QUIEVRECHAIN / Maison d'Arrêt de Valenciennes;Valenciennes
CP - US2 / Centre Pénitentiaire de Liancourt;Liancourt
Suède;Stockholm
MA - US ARRAS / Maison d'Arrêt d'Arras;Arras
MA - US DE BETHUNE / Maison d'Arrêt de Béthune;Béthune
CP - US du centre hospitalier de la Région de Saint-Omer / Centre Pénitentiaire de Longuenesse;Longuenesse
CD - Melun / Centre de Détention de Melun;Melun
MC - USMP de Poissy / Maison Centrale de Poissy;Poissy
CD - US PLS / Prison de la Santé;Paris
MA - USDSS / Maison d'Arrêt d'Amiens;Amiens
EPM - US EPM / Etablissement Spécialisé pour mineurs d'Orvault;Orvault
MA - US Villepinte / Maison d'Arrêt de Villepinte-Seine-Saint-Denis;Villepinte
MA - US CHD VENDEE / Maison d'Arrêt de La Roche-sur-Yon;La Roche-sur-Yon
Suisse;Berne
CP - US de Caen / Maison d'Arrêt de Caen;Caen
MA - US de la maison d'arrêt de Caen / Maison d'Arrêt de Caen;Caen
MA - US MA de Versailles / Maison d'Arrêt de Versailles;Versailles
MA - US MA de Bois d'Arcy / Maison d'Arrêt de Versailles;Versailles
MA - US Fleury Mérogis / Maison d'Arrêt de Fleury-Mérogis;Fleury-Mérogis
MA - Nanterre / Maison d'Arrêt de Nanterre-Hauts-de-Seine;Nanterre
MA - US Maison d'Arrêt d'Osny / Maison d'Arrêt d'Osny-Val-d'Oise;Osny
MA - UnitéSanitaire de la maison d'arret d'Evreux / Maison d'Arrêt d'Evreux;Évreux
MA - US CHPC / Maison d'Arrêt de Cherbourg;Cherbourg-en-Cotentin
MA - US Tulle / Maison d'Arrêt de Tulle;Tulle
MA - USS et USP / Maison d'Arrêt de Rouen;Rouen
MA - US de SAINTES / Maison d'Arrêt de Saintes;Saintes
Syrie;Damas
Tchad;Ndjamena
CD - US du Centre Hospitalier d'Argentan  Espace René Cassin/ Centre de Détention d'Argentan;Argentan
CD - US de BÉDENAC / Centre de Détention de Bédenac;Bedenac
MA - US / Maison d'Arrêt de Rochefort;Rochefort
CP - US / Centre pénitentiaire du Havre;Saint-Aubin-Routot
Tadjikistan;Douchanbé
MA - Unité Sanitaire de niveau 1 / Maison d'Arrêt de Limoges;Limoges
CD - US CD de NEUVIC / Maison d'Arrêt de Périgueux;Périgueux
MA - US PERIGUEUX / Maison d'Arrêt de Périgueux;Périgueux
MA - Unité Sanitaire en Milieu Pénitentiaire du CH Carcassonne / Maison d'Arrêt de Carcassonne;Carcassonne
MA - US / Maison d'Arrêt de Rodez / Maison d'Arrêt de Rodez;Druelle Balsac
CP - US de la Maison d'Arret Seysses / CHU Toulouse / Centre de Détention de Muret;Muret
CD - US du Centre de Détention de Muret / CHU Toulouse / Centre de Détention de Muret;Muret
CP - US CENTRE HOSPITALIER DE BEZIERS / Centre Pénitentiaire de Béziers;Béziers
0 - US / Maison d'Arrêt d'Agen;Agen
MA - USMP de PAU / Maison d'Arrêt de Pau;Pau
CP - US de Gradignan / Centre Pénitentiaire Bordeaux-Gradignan;Gradignan
Tanzanie;Dodoma
Tchéquie;Prague
MA - US CH COTE BASQUE / Maison d'Arrêt de Bayonne;Bayonne
CP - US de Villeneuve Les Maguelone / Centre Pénitentiaire de Villeneuve-les-Maguelone;Villeneuve-lès-Maguelone
MA - US / Maison d'Arrêt de Mende;Mende
CP - Hôpitaux de Lannemezan / Centre Pénitentiaire de Lannemezan;Lannemezan
MA - TARBES / Centre Pénitentiaire de Lannemezan;Lannemezan
EPM - US EPM LAVAUR / Centre de Détention de Saint-Sulpice-la-Pointe;Saint-Sulpice-la-Pointe
CD - US SAINT SULPICE / Centre de Détention de Saint-Sulpice-la-Pointe;Saint-Sulpice-la-Pointe
MA - US de Montauban / Maison d'Arrêt de Montauban;Montauban
MA - US UF 2760 CH DIGNE / Maison d'Arrêt de Digne-les-Bains;Digne-les-Bains
MA - US Gap / Maison d'Arrêt de Gap;Gap
MA - US GRASSE / Maison d'Arrêt de Grasse;Grasse
MA - Nice / Maison d'Arrêt de Nice;Nice
CP - LUYNES / Centre Pénitentiaire d'Aix-Luynes;Aix-en-Provence
CD - US de Salon-de-Provence / Centre de Détention de Salon-de-Provence;Salon-de-Provence
EPM - US US-SMPR-CSAPA Etablissement pénitentiaire pour Mineur de la Valentine / Etablissement spécialisé pour mineurs de Marseille;Marseille
SAS - US SAS / Etablissement spécialisé pour mineurs de Marseille;Marseille
MC - USMP MC Arles / Maison Centrale d'Arles;Arles
CD - USMP CD TARASCON / Maison Centrale d'Arles;Arles
Thaïlande;Bangkok
CP - US le PONTET AVIGNON / Centre Pénitentiaire d'Avignon-le Pontet;Le Pontet
 - BASSE TERRE / Maison d'Arrêt de Basse-Terre;Basse-Terre
MA - US CHAUMONT / Maison d'Arrêt de Chaumont;Chaumont
CP - US DU CENTRE PÉNITENTIAIRE DE RÉMIRE-MONTJOLY / Centre Pénitentiaire de Remire-Montjoly;Remire-Montjoly
Timor oriental;Dili
CD - US Centre pénitentiaire du Port / Maison d'Arrêt de Saint-Pierre-de-la-Réunion;Saint-Pierre
CP - US CP  Saint-Pierre / Maison d'Arrêt de Saint-Pierre-de-la-Réunion;Saint-Pierre
CP - Majicavo Lamir / Maison d'arrêt de Majicavo Lamir;Koungou
Grand centre LA ROCHE SUR YON (en cours de déclaration) ;Mouilleron-le-Captif
Centre de vaccination Le Chesnay-Rocquencourt;Le Chesnay-Rocquencourt
Togo;Lomé
CD - Centre de Détention d'Eysses / Centre de Détention d'Eysses-Villeneuve-sur-Lot;Villeneuve-sur-Lot
Tonga;Nuku'alofa
CP - US Saint-Denis / Maison d'Arrêt de Saint-Pierre-de-la-Réunion;Saint-Pierre
Grand centre 71N;Chalon-sur-Saône
Centre de vaccination de PASSY - Parvis des Fiz;Passy
Grand centre 71S;Mâcon
Grand centre 39;Lons-le-Saunier
Trinité-et-Tobago;Port-d'Espagne (Port of Spain)
Grand centre 90;Belfort
Tunisie;Tunis
Turkménistan;Achgabat
Turquie;Ankara
Tuvalu;Vaiaku
Ukraine;Kiev
CV éphémère - Lignières;Lignières
Vatican;Vatican
Uruguay;Montévidéo
Grand centre - en attente (18);Bourges
Vanuatu;Port-Vila
Les Andelys : salle des fêtes;Les Andelys
Vénézuéla;Caracas
Vietnam;Hanoï
Yémen;Sanaa
Zambie;Lusaka
Zimbabwé;Hararé
Pôle militaire de vaccination – Mérignac – Pin Galant ;Mérignac
MA - US de la Maison d'Arrêt de Bonneville / Maison d'Arrêt de Bonneville;Bonneville
Centre Saint Martial;Limoges
Centre de vaccination éphémère de Villers en Arthies ;Villers-en-Arthies
Très grand centre;evry
Equipe mobile Métropôle de Lyon;Lyon
Centre de vaccination Stade Marcel Picot;Tomblaine
Centre vaccination CAP 3000;Saint-Laurent-du-Var
Evry-préfecture/cité administrative CVAE;Évry-Courcouronnes
Grand centre de vaccination de la Grande Halle d'Auvergne;Cournon-d'Auvergne
Clinique Esquirol Saint Hilaire;Agen
Centre de vaccination - en attente (18);Bourges
CH AGEN;Agen
Centre de Vaccination du Groupement OUEST : Vaccin OUEST;Toulon
Centre de Vaccination du Groupement CENTRE : Vaccin CENTRE;Le Luc
Centre de vaccination - CPTS Littoral en Nord, SPORTICA Gravelines;Gravelines
Ecole maternelle Jean de la Fontaine - Centre de vaccination Châteaudun;Châteaudun
DIJON - Toison d'Or - Porte 8;Dijon
GRAND CENTRE - BORDEAUX - PARC DES EXPOSITIONS;Bordeaux
CHENOVE Salle des fêtes;Chenôve
CENTRE DE VACCINATION DU GRAND CUBZAGUAIS;Saint-André-de-Cubzac
Dpt 35 - Opérations éphémères non rattachées à un CDV;Rennes
Maison de santé pluridisciplinaire de Salignac-Eyvigues;Salignac-Eyvigues
Evry Agora Centre commercial ;Évry-Courcouronnes
Centre de vaccination de l'URPS-ML;Les Abymes
Dpt 22 - Opérations éphémères non rattachées à un CDV;Saint-Brieuc
Dpt 56 - Opérations éphémères non rattachées à un CDV;Vannes
Vaccinobus76;Rouen
Equipe mobile de vaccination - opération Gabarret;Gabarret
Centre de vaccination de l'Hôpital privé de la Loire ;Saint-Étienne
MA - US REIMS / Maison d'Arrêt de Reims;Reims
Centre de vaccination - Hôpital Pierre Garraud HCL;Lyon
CP - MAUBEUGE / Centre Pénitentiaire de Maubeuge;Maubeuge
Equipe mobile Protection civile 92;Nanterre
Centre de Dampierre;Dampierre
Caisse Primaire d'Assurance Maladie des Deux-Sèvres;NIORT
Centre de vaccination - Base de loisirs Cergy-Neuville;Cergy
Centre de vaccination itinérant SST2A;Ajaccio
Pôle enfance jeunesse - CV Courville-sur-Eure - Gymnase communal;Courville-sur-Eure
les Ulis centre commercial ;Les Ulis
Centre éphémère de vaccination de Deshaies;Deshaies
Bus Vaccination 92;Nanterre
RENNES - CHU Pontchaillou (réservé PS);Rennes
QUETIGNY Espace Montessori;Quetigny
Centre de vaccination de Roquemaure;Roquemaure
centre de vaccination du SDIS - Bassin de Saint-Maixent-L'Ecole;Nanteuil
Centre de vaccination mobile SDIS 01;Bourg-en-Bresse
centre de vaccination Saint-Jean du Gard;Saint-Jean-du-Gard
centre de vaccination de Saint-Jean du Gard;Saint-Jean-du-Gard
UHSI MARSEILLE;Marseille
MA - US MA de Grenoble-Varces / Maison d'Arrêt de Grenoble-Varces;Varces-Allières-et-Risset
VACCIBUS CHALON;Chalon-sur-Saône
Centre de vaccination d'Epinal (CH Emile Durkheim);Épinal
CHU DE SAINT-ETIENNE - Hôpital Nord - Nouveaux locaux parking P3;Saint-Priest-en-Jarez
UHSA NANCY LAXOU;Laxou
Clinique Epernay;Épernay
centre de vaccination SDIS;Nîmes
Centre Hospitalier Mont Saint Martin (3ème étage);Mont-Saint-Martin
Centre de vaccination éphémère de Jayat - Mairie de Jayat;Jayat
Relai ambulatoire de vaccination - Maison de santé de Cruseilles;Cruseilles
Relai ambulatoire de vaccination - Maison médicale du Valromey;Artemare
Lieu de vaccination de Revigny sur Ornain (ancien Netto);Revigny-sur-Ornain
EMV Saint-Brice-Sous-Forêt ;Saint-Brice-sous-Forêt
Centre éphémère de Brie-Comte-Robert;Brie-Comte-Robert
Centre Vaccination - COSEC Rethel;Rethel
Centre de vaccination - René Tys (entrée parking René Thys);Reims
Lieu de vaccination de SPINCOURT - MSP;Spincourt
Nancy - Tour Marcel Brot;Nancy
Centre de vaccination de Sainte Foy-l'Argentière- salle du club;Sainte-Foy-l'Argentière
Le Neubourg - salle du haut phare;Le Neubourg
Relai ambulatoire de vaccination - Maison de santé de Cran Gevrier;Cran-Gevrier
Centre de vaccination Covid-19 de Doubs;Doubs
SETE CENTRE DE VACCINATION ASTRA ZENECA;Sète
Centre Les Haras;Strasbourg
Centre de vaccination de Lingolshein;Lingolsheim
Centre de vaccination de Wasselonne ;Wasselonne
Centre de vaccination de Montmirail- Salle de la halle aux veaux;Montmirail
Centre de vaccination d'Albigny sur Saone - Centre Hospitalier gériatrique du Mont d'Or - Pavillon Violette;Albigny-sur-Saône
centre de vaccination COVID19 SOSM La providence;Sens
Centre de vaccination des Combrailles - Maison de santé de St Eloy Les Mines;Saint-Éloy-les-Mines
Centre de Vaccination  Internationale des HUS;Strasbourg
Centre de vaccination St-Ambroix Tremplin;Saint-Ambroix
Centre de vaccination COVID Ad Hoc de La Motte Servolex;La Motte-Servolex
"Centre de vaccination Covid-19  Salle des fêtes ""les Goménolés"" Plaine des Palmistes";La Plaine-des-Palmistes
Centre de Romainville Croix-Rouge;Romainville
Centre de Vaccination - ANGERS- Hotel de Ville;Angers
Relais Ambulatoire de Vaccination CMES Aulnay sous Bois ;Aulnay-sous-Bois
Relai ambulatoire d'Aubenas (dans les locaux MMG);Aubenas
Centre de vaccination du pays de Saverne;Saverne
Centre vaccination pédiatrique Saint Jeannet;Saint-Jeannet
MSP SAINT-GERMAINMONT;Saint-Germainmont
Centre de vaccination - Commune LAGNY-LE-SEC;Lagny-le-Sec
GHEF-Site CH Meaux;Meaux
Centre de vaccination éphémère de Saint-Vulbas - Centre International de Rencontres (CIR), salle polyvalente;Saint-Vulbas
GHU Paris - Site Sainte Anne;Paris
Relai ambulatoire de vaccination - MSP DU GUIERS;Saint-Genix-les-Villages
Centre de vaccination de Rohrbach-lès-Bitche - Salle polyvalente Robert Schuman;Rohrbach-lès-Bitche
Clinisud;Ajaccio
Centre de vaccination pédiatrique du centre de santé de Bastia;Bastia
Centre départemental de vaccination - SDIS;Le Mans
CH LIBOURNE;Libourne
CENTRE DE SANTE POLYVALENT DE LESPARRE;Lesparre-Médoc
Nuits Saint Georges - Maison de Nuits;Nuits-Saint-Georges
Cour Cheverny centre éphémère;Cour-Cheverny
CHI de Pompey;Pompey
Relai ambulatoire de vaccination - MSP Gonesse ;Gonesse
MSP de Saint Vallier de Thiey;Saint-Vallier-de-Thiey
Centre de vaccination de Beauvallon - Salle Van Gogh;Beauvallon
Relai ambulatoire de vaccination - Maison de santé Valence Europe;Valence
Centre de vaccination - Tinqueux - Ligne(s) SDIS 51;Tinqueux
Centre de vaccination de Talange;Talange
Hôpitaux du Mont-Blanc - Institut de formation des aides-soignants;Sallanches
Dispensaire Porte Madeleine - réservé aux professionnels de santé;Orléans
Equipe Mobile Résidences Autonomie et Territoire Seine-Maritime;Rouen
Centre de vaccination de Morteau;Morteau
Centre de vaccination départemental - Dispensaire Emile Roux;Clermont-Ferrand
Centre de vaccination ambulatoire de Montmagny;Montmagny
Centre de vaccination pédiatrique d'Arcueil;Arcueil
Relai ambulatoire de vaccination - Centre de Santé Polyvalent Rose des Vents;Valence
Centre de vaccination Salle Jacques Redoin de Morée;Morée
Relai ambulatoire de vaccination - Cabinet Médical MEDIVAL;Val-d'Isère
Centre de vaccination de Bourg-en-Bresse;Viriat
